"","Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
"chr3-38000000-39000000",6819,7510,4293,6397,6429,6609
"chr3-39000000-40000000",6692,5571,5461,7252,6700,6682
"chr3-40000000-41000000",4895,3132,3180,4614,3952,3789
"chr3-41000000-42000000",3443,3240,2494,2822,2738,2754
"chr3-42000000-43000000",10503,11816,7418,10361,9262,9600
"chr3-43000000-44000000",4632,5916,3421,4268,4296,4408
"chr3-44000000-45000000",3819,2842,3292,3472,3634,3496
"chr3-45000000-46000000",8910,7365,8605,8403,8037,8184
"chr3-46000000-47000000",6777,6324,6453,6230,6432,6382
"chr3-47000000-48000000",6718,6725,6055,6042,6607,6873
"chr3-48000000-49000000",10273,10432,11284,10425,10638,10964
"chr3-49000000-50000000",11330,11846,11136,11152,11446,11616
"chr3-50000000-51000000",12042,11290,11386,12517,11857,11675
"chr3-51000000-52000000",5680,5248,4386,5429,5388,5747
"chr3-52000000-53000000",9146,8847,11627,8538,8846,9146
"chr3-53000000-54000000",8196,8118,11025,8660,8647,8763
"chr3-54000000-55000000",2535,1363,2522,1760,2133,2143
"chr3-55000000-56000000",3602,2028,2225,1911,2721,2568
"chr3-56000000-57000000",2553,2161,4024,2380,2608,2844
"chr3-57000000-58000000",7189,7962,4098,6346,6652,6941
"chr3-58000000-59000000",9798,12463,10134,9567,10203,10602
"chr3-59000000-60000000",1919,1231,3551,1864,1860,1644
"chr3-60000000-61000000",1633,1183,2596,1717,1313,1251
"chr3-61000000-62000000",3887,4475,5637,3086,3873,3968
"chr3-62000000-63000000",1859,1958,4043,1757,1871,1964
"chr3-63000000-64000000",4511,4668,4942,4036,4401,4555
"chr3-64000000-65000000",2740,1921,3774,2506,2805,2546
"chr3-65000000-66000000",3267,3651,4247,4390,3220,3152
"chr3-66000000-67000000",6932,5987,7464,6883,6836,6941
"chr3-67000000-68000000",2260,1807,1919,2125,2633,2454
"chr3-68000000-69000000",1156,1245,1048,1031,1195,1201
"chr3-69000000-70000000",3888,4052,3208,3994,4114,4226
"chr3-70000000-71000000",1315,1243,1076,1276,1229,1257
"chr3-71000000-72000000",7847,6979,7863,8975,7195,7509
"chr3-72000000-73000000",7500,6672,9504,7851,6916,6888
"chr3-73000000-74000000",3128,2241,5990,3413,3434,3017
"chr3-74000000-75000000",1510,1496,1752,1661,1726,1898
"chr3-76000000-77000000",1154,1038,1048,1150,1254,1230
"chr3-77000000-78000000",945,1026,723,1402,1119,1103
"chr3-78000000-79000000",1059,973,593,1005,977,997
"chr3-79000000-80000000",1376,1109,1057,1361,1101,1143
"chr3-80000000-81000000",1380,1093,1076,1146,1292,1190
"chr3-81000000-82000000",1551,1635,1771,1563,1607,1656
"chr3-82000000-83000000",904,833,593,795,913,935
"chr3-83000000-84000000",741,830,473,709,812,866
"chr3-84000000-85000000",1017,855,714,776,871,970
"chr3-85000000-86000000",898,1199,1242,845,938,1082
"chr3-86000000-87000000",1145,1096,1233,1122,1113,1178
"chr3-87000000-88000000",2785,3289,2216,2286,2753,2742
"chr3-88000000-89000000",2400,2196,1910,2011,2039,2042
"chr3-89000000-90000000",1542,1341,1020,1394,1480,1583
"chr3-94000000-95000000",2344,2558,3134,2927,2835,3093
"chr3-95000000-96000000",1103,1183,853,1105,1192,1249
"chr3-96000000-97000000",960,906,733,882,981,965
"chr3-97000000-98000000",2140,1354,3153,2097,1744,1725
"chr3-98000000-99000000",2374,1927,2142,2337,2244,2177
"chr3-99000000-100000000",2237,1813,1919,2134,2210,2190
"chr3-100000000-101000000",4050,3347,3421,3963,3744,3798
"chr3-101000000-102000000",6032,4837,3950,4579,5177,5314
"chr3-102000000-103000000",2721,2958,2364,1885,2420,2558
"chr3-103000000-104000000",863,829,649,803,885,909
"chr3-104000000-105000000",1028,950,593,1096,984,995
"chr3-105000000-106000000",3126,2915,2800,3301,2712,2722
"chr3-106000000-107000000",1401,1236,1113,1353,1147,1201
"chr3-107000000-108000000",2713,1803,3023,2304,2362,2290
"chr3-108000000-109000000",5075,5982,3644,5241,5502,5407
"chr3-109000000-110000000",1614,1968,1715,1491,1878,1945
"chr3-110000000-111000000",1336,1417,2568,1296,1818,1917
"chr3-111000000-112000000",2789,2209,3931,2741,2768,2684
"chr3-112000000-113000000",4345,3899,6055,5631,4526,4236
"chr3-113000000-114000000",4722,4718,6389,5493,5314,5202
"chr3-114000000-115000000",2443,1795,3709,2251,2423,2418
"chr3-115000000-116000000",1977,1909,3041,2209,2149,2076
"chr3-116000000-117000000",1092,1003,946,1295,1109,1225
"chr3-117000000-118000000",2138,1752,2503,2298,2058,1909
"chr3-118000000-119000000",1154,1145,955,1101,1200,1296
"chr3-119000000-120000000",5335,5262,5090,6365,4547,4890
"chr3-120000000-121000000",5093,4279,6064,4999,4776,4819
"chr3-121000000-122000000",2523,2623,3004,2391,2573,2633
"chr3-122000000-123000000",4774,5198,6092,5258,4783,4983
"chr3-123000000-124000000",8397,6888,6648,6491,6766,6772
"chr3-124000000-125000000",8650,10159,7566,6929,7813,7953
"chr3-126000000-127000000",3695,2610,3440,3528,3719,3585
"chr3-127000000-128000000",6712,6417,8169,8083,6415,6279
"chr3-128000000-129000000",6146,5281,7371,5464,5647,5604
"chr3-129000000-130000000",9123,8637,11627,9960,8761,8810
"chr3-131000000-132000000",2480,2536,2272,2753,2401,2506
"chr3-132000000-133000000",3211,2956,4312,3933,3313,3463
"chr3-133000000-134000000",3969,4407,3097,3647,3887,3763
"chr3-134000000-135000000",4727,4702,3922,4576,4396,4484
"chr3-135000000-136000000",2115,2376,2735,2023,2231,2194
"chr3-136000000-137000000",4766,5742,4339,5501,5322,5597
"chr3-137000000-138000000",1452,1222,1641,1410,1323,1354
"chr3-138000000-139000000",5154,4411,4553,4068,4709,4621
"chr3-139000000-140000000",3016,3007,3764,2931,3132,3181
"chr3-140000000-141000000",1971,1921,2680,1991,2183,1829
"chr3-141000000-142000000",6889,8496,7464,6629,7639,7916
"chr3-142000000-143000000",5726,7981,6500,5928,6160,6238
"chr3-143000000-144000000",3788,3172,2541,3443,3468,3587
"chr3-144000000-145000000",890,964,1456,854,956,983
"chr3-145000000-146000000",895,871,566,837,893,917
"chr3-146000000-147000000",4169,4769,3459,3370,3933,4236
"chr3-147000000-148000000",1153,1094,872,1047,1062,1103
"chr3-148000000-149000000",1777,1457,2847,1840,1767,1731
"chr3-149000000-150000000",3400,4080,4877,3740,4185,4032
"chr3-150000000-151000000",6450,6512,6389,6223,6288,6232
"chr3-151000000-152000000",2388,1694,2930,2216,2367,2219
"chr3-152000000-153000000",3630,4705,2930,3243,3714,3967
"chr3-153000000-154000000",2901,3200,2392,3261,2743,2890
"chr3-154000000-155000000",2213,1360,1706,1952,1710,1656
"chr3-155000000-156000000",2856,2528,3375,3028,2928,2950
"chr3-156000000-157000000",4067,3997,3727,4055,3808,3744
"chr3-157000000-158000000",4312,4783,3588,4626,4576,4453
"chr3-158000000-159000000",4185,3088,3968,4834,3931,3903
"chr3-159000000-160000000",3229,3270,2615,3057,2980,3245
"chr3-160000000-161000000",4106,3939,5183,4136,3872,3906
"chr3-161000000-162000000",1540,1282,1465,2173,1595,1542
"chr3-162000000-163000000",1012,878,556,907,1009,1015
"chr3-163000000-164000000",973,904,612,893,922,989
"chr3-164000000-165000000",1406,948,1085,1382,1208,1234
"chr3-165000000-166000000",2219,2230,1484,1877,1991,2062
"chr3-166000000-167000000",984,916,983,1027,1002,978
"chr3-167000000-168000000",1920,2108,1956,2186,2088,2179
"chr3-168000000-169000000",2972,3144,2689,3194,3236,3236
"chr3-169000000-170000000",7035,6326,6815,7575,7155,7393
"chr3-170000000-171000000",5298,5391,5545,5783,5855,5869
"chr3-171000000-172000000",4683,5160,3792,4224,4596,4656
"chr3-172000000-173000000",7880,10245,5545,7782,7673,7472
"chr3-173000000-174000000",1080,970,909,959,1017,1061
"chr3-174000000-175000000",1678,1502,1576,1421,1639,1670
"chr3-175000000-176000000",1987,1504,1706,1948,1579,1570
"chr3-176000000-177000000",1264,1132,1539,1413,1394,1419
"chr3-177000000-178000000",6997,8213,8410,7720,7067,7424
"chr3-178000000-179000000",2182,1350,3996,2602,1999,1919
"chr3-179000000-180000000",3352,2354,2995,2770,2808,2842
"chr3-180000000-181000000",1658,1510,1159,1525,1538,1554
"chr3-181000000-182000000",1207,1077,909,1199,1111,1182
"chr3-182000000-183000000",4356,5401,3514,5077,4473,4965
"chr3-183000000-184000000",6672,8453,6324,8027,6849,6778
"chr3-184000000-185000000",10309,9716,11720,9818,10894,10364
"chr3-185000000-186000000",9254,12412,7075,9625,9585,10286
"chr3-186000000-187000000",4473,4070,5916,3701,4010,4012
"chr3-187000000-188000000",3165,2676,3681,2682,3390,3225
"chr3-188000000-189000000",6110,7268,5795,5380,5877,6084
"chr3-189000000-190000000",4558,4157,2754,4350,4166,4340
"chr3-190000000-191000000",3028,3080,2068,2325,2824,2886
"chr3-191000000-192000000",1502,1346,983,1251,1310,1403
"chr3-192000000-193000000",1788,1642,1372,1655,1496,1487
"chr3-193000000-194000000",5811,6169,4506,3419,5691,5966
"chr3-194000000-195000000",11718,13415,10236,9036,11443,11485
"chr3-196000000-197000000",7363,8541,5165,6909,7645,7868
"chr4-1000000-2000000",11643,11215,9207,11922,11068,10770
"chr4-2000000-3000000",10635,11701,10144,10263,10126,10478
"chr4-3000000-4000000",5055,4505,7344,5644,5819,5187
"chr4-5000000-6000000",1618,1149,1409,1203,1341,1344
"chr4-6000000-7000000",8451,9510,8317,8686,8631,8895
"chr4-7000000-8000000",6084,4417,8892,6177,6142,5759
"chr4-8000000-9000000",6575,4186,5841,5116,5656,5428
"chr4-10000000-11000000",3657,4716,3236,3903,4452,4323
"chr4-11000000-12000000",3863,4049,3013,4635,3553,3476
"chr4-12000000-13000000",1659,1610,964,1950,1639,1629
"chr4-13000000-14000000",1941,1876,2503,2023,1989,1954
"chr4-14000000-15000000",1650,2017,1326,1665,1842,2014
"chr4-15000000-16000000",4568,4503,3051,3946,4333,4476
"chr4-16000000-17000000",3112,2870,3486,2405,2850,3060
"chr4-17000000-18000000",2614,2389,3820,2728,2792,2637
"chr4-18000000-19000000",1995,1676,2207,2405,2086,2071
"chr4-19000000-20000000",1161,1163,575,1150,1189,1305
"chr4-20000000-21000000",2388,1894,1623,1816,2213,2186
"chr4-21000000-22000000",1438,1422,983,1322,1399,1310
"chr4-22000000-23000000",3376,3606,3051,3298,3505,3654
"chr4-23000000-24000000",3950,5725,3041,4629,4410,4749
"chr4-24000000-25000000",4849,3454,4274,5295,4326,4122
"chr4-25000000-26000000",5251,4279,4877,5552,4985,4937
"chr4-26000000-27000000",4096,2939,6018,5081,3466,3477
"chr4-27000000-28000000",2067,1989,1465,1684,1771,1894
"chr4-28000000-29000000",991,893,779,953,1039,1065
"chr4-29000000-30000000",737,877,417,794,882,885
"chr4-30000000-31000000",1681,1802,1011,1426,1641,1728
"chr4-31000000-32000000",1375,1227,816,1252,1285,1304
"chr4-32000000-33000000",1739,1313,918,1478,1403,1490
"chr4-33000000-34000000",940,990,510,906,955,1013
"chr4-34000000-35000000",889,837,417,774,878,881
"chr4-35000000-36000000",958,880,417,825,913,932
"chr4-36000000-37000000",1886,2262,1678,2126,2056,2116
"chr4-37000000-38000000",7602,9167,7520,7251,7125,7312
"chr4-38000000-39000000",10737,11197,8651,11092,10601,10612
"chr4-39000000-40000000",6256,6692,6064,6514,6388,6515
"chr4-40000000-41000000",7309,10411,8577,8138,7462,7754
"chr4-41000000-42000000",3654,2289,3737,3011,3424,3219
"chr4-42000000-43000000",2592,3611,2976,2908,2485,2787
"chr4-43000000-44000000",934,939,529,833,883,967
"chr4-44000000-45000000",1300,1227,992,1233,1358,1317
"chr4-45000000-46000000",1140,1169,714,1134,1228,1272
"chr4-46000000-47000000",901,1007,1558,1139,1219,1076
"chr4-47000000-48000000",2634,2208,2624,2162,2309,2347
"chr4-48000000-49000000",8016,8063,7260,8650,8128,8502
"chr4-52000000-53000000",2905,2701,2151,3326,3063,2882
"chr4-53000000-54000000",4556,3666,4441,4365,4340,4488
"chr4-54000000-55000000",2135,2641,3078,2311,2477,2659
"chr4-55000000-56000000",3596,2856,2531,3371,3134,3215
"chr4-56000000-57000000",5433,6556,7928,7443,6393,6609
"chr4-57000000-58000000",1326,1233,1233,1548,1377,1428
"chr4-59000000-60000000",737,805,408,762,814,843
"chr4-60000000-61000000",746,869,482,764,840,858
"chr4-61000000-62000000",974,1228,1001,1444,1284,1240
"chr4-62000000-63000000",1028,1071,733,1051,1087,1176
"chr4-63000000-64000000",723,845,427,768,820,862
"chr4-64000000-65000000",768,830,519,938,923,897
"chr4-65000000-66000000",785,884,566,880,854,870
"chr4-66000000-67000000",900,866,603,787,863,914
"chr4-67000000-68000000",1616,1517,1419,1631,1603,1677
"chr4-68000000-69000000",3588,3214,2216,3188,3658,3680
"chr4-69000000-70000000",3914,3235,3236,3748,3539,3760
"chr4-70000000-71000000",2674,2031,3681,2805,2734,2548
"chr4-71000000-72000000",4147,6468,3523,4662,4347,4759
"chr4-72000000-73000000",972,974,1066,1331,1116,1079
"chr4-73000000-74000000",4647,4501,5220,4557,4893,4871
"chr4-74000000-75000000",5896,7556,4182,6495,6787,6769
"chr4-75000000-76000000",5379,6275,4988,6532,5630,5934
"chr4-76000000-77000000",10047,11839,10125,11301,10276,10324
"chr4-77000000-78000000",4359,5127,4135,5498,4893,4844
"chr4-78000000-79000000",4827,4147,3292,4247,4341,4263
"chr4-79000000-80000000",1537,1580,936,1580,1490,1601
"chr4-80000000-81000000",2192,1980,2068,2122,2112,2016
"chr4-81000000-82000000",5297,7009,4312,4379,5055,5065
"chr4-82000000-83000000",3729,3267,4126,3793,4188,3725
"chr4-83000000-84000000",6774,9974,5869,7524,6633,7503
"chr4-84000000-85000000",2322,2091,2559,2636,2445,2462
"chr4-85000000-86000000",2853,1694,2624,2428,2476,2288
"chr4-86000000-87000000",3187,2626,3440,2918,2661,2529
"chr4-87000000-88000000",5748,5323,5313,5040,5527,5793
"chr4-88000000-89000000",5725,7637,6083,6750,5147,5300
"chr4-89000000-90000000",3710,3739,4942,4164,4040,3854
"chr4-90000000-91000000",1531,1912,1419,1945,1729,1701
"chr4-91000000-92000000",1282,1124,890,1047,1358,1293
"chr4-92000000-93000000",1189,1530,872,1074,1295,1358
"chr4-93000000-94000000",1982,1368,1419,3309,2251,1910
"chr4-94000000-95000000",3008,3116,4701,3116,2872,2738
"chr4-95000000-96000000",3065,1227,1780,1413,1463,1384
"chr4-96000000-97000000",1449,1022,1363,1114,1113,1034
"chr4-97000000-98000000",1107,980,779,1043,1133,1011
"chr4-98000000-99000000",4087,3780,4822,3884,4131,3804
"chr4-99000000-100000000",4580,4296,3829,4301,4984,5169
"chr4-100000000-101000000",1122,1405,955,1290,1288,1317
"chr4-101000000-102000000",3764,3131,3718,3468,2987,2929
"chr4-102000000-103000000",5115,3896,4914,5514,4794,4787
"chr4-103000000-104000000",1633,1661,1150,1622,1804,1799
"chr4-104000000-105000000",1662,1919,3115,2216,1875,1777
"chr4-105000000-106000000",4193,3707,4330,4327,4430,4454
"chr4-106000000-107000000",1379,1590,983,1413,1518,1586
"chr4-107000000-108000000",4022,3981,2837,3574,3467,3547
"chr4-108000000-109000000",2123,1554,2670,2460,2445,2021
"chr4-109000000-110000000",3023,2712,3857,2839,3210,3344
"chr4-110000000-111000000",5445,7854,3496,5925,5485,5838
"chr4-111000000-112000000",1355,1624,1224,1260,1676,1624
"chr4-112000000-113000000",3032,3040,3783,2737,2941,2945
"chr4-113000000-114000000",4008,4073,5619,4813,3626,3786
"chr4-114000000-115000000",2894,2597,4265,3182,3264,3257
"chr4-115000000-116000000",1069,961,668,1199,1109,1014
"chr4-116000000-117000000",815,959,612,871,945,922
"chr4-117000000-118000000",1195,1063,1409,1614,1390,1357
"chr4-120000000-121000000",2040,2234,2596,2051,2379,2376
"chr4-121000000-122000000",2844,2253,1956,2603,2728,2807
"chr4-122000000-123000000",2635,3065,1511,2224,2646,2849
"chr4-123000000-124000000",3339,3229,3227,3069,3391,3306
"chr4-124000000-125000000",1586,1747,1094,1335,1650,1647
"chr4-125000000-126000000",875,848,658,832,913,900
"chr4-126000000-127000000",808,828,464,798,905,841
"chr4-127000000-128000000",1920,1796,1511,1994,1988,1965
"chr4-128000000-129000000",4900,3648,5285,4388,4524,4726
"chr4-129000000-130000000",1379,1433,1261,1324,1361,1387
"chr4-130000000-131000000",892,853,899,809,961,890
"chr4-132000000-133000000",818,799,464,1066,851,832
"chr4-133000000-134000000",874,855,510,816,841,837
"chr4-134000000-135000000",928,947,445,859,1011,985
"chr4-135000000-136000000",778,790,427,727,882,769
"chr4-136000000-137000000",1205,1050,881,948,1091,1052
"chr4-137000000-138000000",884,905,677,879,918,884
"chr4-138000000-139000000",2861,1976,3570,3156,2814,2625
"chr4-139000000-140000000",5810,5731,8632,6055,5898,5922
"chr4-140000000-141000000",5873,6181,6240,6518,5809,5905
"chr4-141000000-142000000",2141,1872,1715,2302,2175,2044
"chr4-142000000-143000000",1952,2807,3431,2321,2545,2423
"chr4-145000000-146000000",4717,3799,3347,4335,4268,4272
"chr4-146000000-147000000",2455,2424,1975,2521,2499,2430
"chr4-147000000-148000000",2488,3325,2068,3049,2722,2686
"chr4-148000000-149000000",6924,9480,6138,8896,7535,7499
"chr4-149000000-150000000",2390,2496,1270,2427,2446,2404
"chr4-150000000-151000000",2621,2516,2949,2464,2728,2717
"chr4-151000000-152000000",6617,7489,6555,6800,6692,6866
"chr4-152000000-153000000",5667,5231,7177,5472,5566,5178
"chr4-153000000-154000000",5444,5681,5879,5998,6055,5736
"chr4-154000000-155000000",1872,1426,2791,1524,1897,1783
"chr4-155000000-156000000",1845,2359,1975,1783,1868,1868
"chr4-156000000-157000000",1228,983,1298,1238,1386,1190
"chr4-157000000-158000000",1058,946,992,1178,1100,1079
"chr4-158000000-159000000",5068,4681,3764,5336,4770,4826
"chr4-159000000-160000000",2156,2945,2847,2432,2602,2482
"chr4-160000000-161000000",949,1045,1011,1242,1101,1079
"chr4-161000000-162000000",704,801,723,898,864,859
"chr4-162000000-163000000",1376,1439,1048,1833,1530,1570
"chr4-163000000-164000000",2865,1910,3551,2128,2415,2345
"chr4-164000000-165000000",1335,1391,936,1211,1441,1445
"chr4-165000000-166000000",2183,2755,4098,2489,2478,2500
"chr4-166000000-167000000",935,1324,2327,1207,1253,1239
"chr4-167000000-168000000",849,883,825,868,875,893
"chr4-168000000-169000000",4111,4978,4015,5575,4306,4423
"chr4-169000000-170000000",5977,6786,6222,6533,6605,6882
"chr4-170000000-171000000",2106,1843,1938,1831,1988,2007
"chr4-171000000-172000000",847,893,603,1024,925,982
"chr4-172000000-173000000",1703,1759,1484,2200,2003,1981
"chr4-173000000-174000000",4187,4461,3672,4474,4106,4163
"chr4-174000000-175000000",2311,3824,2198,2934,2430,2602
"chr4-175000000-176000000",808,890,603,837,888,937
"chr4-176000000-177000000",1261,1201,1159,1377,1439,1334
"chr4-177000000-178000000",1777,1586,1595,1878,1970,1838
"chr4-178000000-179000000",969,1001,621,938,1030,969
"chr4-179000000-180000000",858,906,621,831,945,922
"chr4-180000000-181000000",1007,1017,668,987,1051,1085
"chr4-181000000-182000000",1160,1324,1261,1081,1210,1247
"chr4-182000000-183000000",1376,1243,1956,1680,1555,1504
"chr4-183000000-184000000",4263,3458,4998,4293,4705,4444
"chr4-184000000-185000000",7746,6977,6537,8721,8253,8844
"chr4-185000000-186000000",5327,4156,6565,4684,4855,4654
"chr4-186000000-187000000",7102,6515,6676,7642,7353,7237
"chr4-187000000-188000000",1225,1274,797,1423,1531,1432
"chr4-188000000-189000000",1051,963,603,852,1053,1076
"chr5-1000000-2000000",6527,8237,7770,6629,7650,7111
"chr5-2000000-3000000",1035,1045,918,1058,1179,1127
"chr5-3000000-4000000",1023,1044,807,985,1198,1073
"chr5-4000000-5000000",1186,1002,834,1019,1215,1098
"chr5-5000000-6000000",1540,1518,1576,1610,1640,1608
"chr5-6000000-7000000",2447,2325,4590,2843,2764,2604
"chr5-7000000-8000000",2087,1875,3403,1908,2188,2151
"chr5-8000000-9000000",2062,1349,1456,1943,2006,1816
"chr5-9000000-10000000",2838,2937,3709,2884,3133,3116
"chr5-10000000-11000000",5493,4673,4376,5121,5559,5487
"chr5-11000000-12000000",1461,1084,1187,1040,1377,1154
"chr5-12000000-13000000",976,1000,575,894,1192,1058
"chr5-13000000-14000000",1056,1134,705,1048,1285,1198
"chr5-14000000-15000000",8012,7347,10422,8761,8425,8232
"chr5-15000000-16000000",1605,1334,862,1448,1467,1450
"chr5-16000000-17000000",6512,7046,8540,7806,7791,7357
"chr5-18000000-19000000",1049,1040,1261,1029,1163,1123
"chr5-19000000-20000000",919,822,631,771,944,882
"chr5-22000000-23000000",833,862,556,790,925,893
"chr5-23000000-24000000",974,917,575,875,1100,1036
"chr5-24000000-25000000",811,824,695,751,869,888
"chr5-25000000-26000000",780,790,454,701,841,843
"chr5-26000000-27000000",765,783,547,725,863,864
"chr5-27000000-28000000",721,801,389,684,881,867
"chr5-28000000-29000000",911,844,454,713,900,883
"chr5-29000000-30000000",868,976,631,869,989,996
"chr5-30000000-31000000",1080,916,1113,1041,1109,989
"chr5-31000000-32000000",1990,2235,2624,1872,2257,2100
"chr5-32000000-33000000",4421,3353,4534,4231,4916,4628
"chr5-33000000-34000000",2816,2903,2086,2373,2795,2818
"chr5-35000000-36000000",3372,3166,3839,3967,4084,4039
"chr5-36000000-37000000",3074,2669,2550,2885,3063,2872
"chr5-37000000-38000000",2193,2536,1419,2026,2480,2552
"chr5-38000000-39000000",1147,1226,1817,1229,1343,1203
"chr5-39000000-40000000",4218,4552,2503,3136,4594,4659
"chr5-40000000-41000000",5201,5627,4636,5412,5368,5392
"chr5-41000000-42000000",2661,2706,4210,2827,2603,2600
"chr5-42000000-43000000",3098,3725,3134,3635,3409,3472
"chr5-43000000-44000000",5237,5304,5897,5607,5651,5703
"chr5-44000000-45000000",1186,1217,918,1182,1251,1184
"chr5-45000000-46000000",1044,1081,1521,1237,1377,1235
"chr5-51000000-52000000",1238,1005,1669,1564,1332,1139
"chr5-52000000-53000000",2173,1980,2949,2324,2488,2337
"chr5-53000000-54000000",2213,1712,1817,1934,2184,2033
"chr5-54000000-55000000",2613,2532,3913,2708,2759,2796
"chr5-55000000-56000000",5729,6778,4849,6158,5607,5704
"chr5-56000000-57000000",3442,3766,2717,3330,3285,3160
"chr5-57000000-58000000",4370,4993,3162,3297,3781,3951
"chr5-58000000-59000000",3088,2033,2921,2952,2654,2488
"chr5-59000000-60000000",4945,5833,7510,6090,5239,5399
"chr5-60000000-61000000",2579,2025,2058,2106,2505,2255
"chr5-61000000-62000000",6121,5989,5916,6398,5955,5959
"chr5-62000000-63000000",2118,2886,2466,2196,2524,2377
"chr5-63000000-64000000",1233,1080,807,1074,1248,1143
"chr5-64000000-65000000",1443,1351,1808,1451,1511,1345
"chr5-65000000-66000000",3828,4703,2874,4097,3916,3946
"chr5-66000000-67000000",2397,1936,2281,1954,2565,2209
"chr5-67000000-68000000",4190,3318,4543,3580,4171,3554
"chr5-68000000-69000000",4767,5821,4330,4531,5289,4823
"chr5-72000000-73000000",3472,3281,6324,4330,3680,3717
"chr5-73000000-74000000",6703,6669,5591,6516,6484,6721
"chr5-74000000-75000000",5407,5309,6120,5008,6021,5883
"chr5-75000000-76000000",4230,4516,4553,5207,4673,4854
"chr5-76000000-77000000",7251,8048,7056,7530,7080,7656
"chr5-77000000-78000000",2425,1960,3931,2001,2220,2203
"chr5-78000000-79000000",3749,6142,4692,5665,4185,4463
"chr5-79000000-80000000",1939,1606,3421,2376,1971,1803
"chr5-80000000-81000000",5024,4815,5721,5398,5975,6069
"chr5-81000000-82000000",3006,2473,3681,2758,2902,2739
"chr5-82000000-83000000",2155,1897,2624,1975,2419,2397
"chr5-83000000-84000000",1959,1628,2281,2191,2102,1926
"chr5-84000000-85000000",1933,1365,1715,1663,2086,1869
"chr5-85000000-86000000",865,860,668,803,903,870
"chr5-86000000-87000000",1205,1184,1113,1208,1169,1179
"chr5-87000000-88000000",2527,2052,2133,2097,2327,2468
"chr5-88000000-89000000",1964,2033,1984,1967,2227,2285
"chr5-89000000-90000000",1843,1410,1335,1448,1755,1848
"chr5-90000000-91000000",3791,2640,2865,3172,3361,3391
"chr5-91000000-92000000",3362,3559,2884,3812,3869,3380
"chr5-92000000-93000000",1065,938,862,1031,997,949
"chr5-93000000-94000000",1499,1289,1595,1545,1412,1377
"chr5-94000000-95000000",1419,1708,1085,1522,1460,1492
"chr5-95000000-96000000",5736,4661,5128,5184,5120,5281
"chr5-96000000-97000000",6663,7391,9615,6512,6489,6818
"chr5-97000000-98000000",2116,1753,1836,2007,2227,2052
"chr5-98000000-99000000",4400,3504,3153,4811,5022,4325
"chr5-101000000-102000000",1116,1099,946,1099,1290,1284
"chr5-102000000-103000000",1651,1715,3922,1661,1998,1856
"chr5-103000000-104000000",3913,5349,3709,3679,3504,3615
"chr5-104000000-105000000",1570,1069,1038,1542,1533,1368
"chr5-105000000-106000000",1031,869,751,940,1043,967
"chr5-106000000-107000000",1114,1049,983,1069,1058,1012
"chr5-107000000-108000000",4173,2546,4256,4050,3639,3722
"chr5-108000000-109000000",2579,2469,2605,2834,2617,2713
"chr5-109000000-110000000",3069,3286,3477,3094,3252,3410
"chr5-110000000-111000000",1397,1265,1326,1266,1360,1299
"chr5-111000000-112000000",2194,1711,2058,2465,2279,2164
"chr5-112000000-113000000",4053,3231,3264,3857,3628,3716
"chr5-113000000-114000000",1723,1336,1669,1548,1542,1444
"chr5-114000000-115000000",1255,1088,1409,1670,1504,1383
"chr5-115000000-116000000",6672,8468,5767,6805,6649,6794
"chr5-116000000-117000000",4193,3791,4080,3782,3764,3723
"chr5-117000000-118000000",1402,1572,1205,1475,1502,1561
"chr5-118000000-119000000",1470,1331,1178,1333,1479,1455
"chr5-119000000-120000000",4782,4155,3041,4513,4447,4880
"chr5-120000000-121000000",1180,1173,742,1177,1392,1289
"chr5-121000000-122000000",1627,1370,1317,1394,1422,1443
"chr5-122000000-123000000",2907,2826,2262,2283,2791,2859
"chr5-123000000-124000000",3554,3545,3941,3755,3526,3685
"chr5-124000000-125000000",5977,5179,7093,4655,5546,5417
"chr5-125000000-126000000",3161,2648,3403,2484,3132,3038
"chr5-126000000-127000000",6076,5510,5109,5222,5873,5830
"chr5-127000000-128000000",5932,4718,4135,8049,6307,5783
"chr5-128000000-129000000",2367,1651,2160,2920,2704,2391
"chr5-129000000-130000000",1642,1377,1187,1605,1800,1588
"chr5-130000000-131000000",2187,2100,992,1912,2060,2003
"chr5-131000000-132000000",5065,7305,5239,5244,5701,5755
"chr5-132000000-133000000",10818,13128,10644,10491,10975,11239
"chr5-133000000-134000000",4265,3455,6880,4595,3746,3635
"chr5-134000000-135000000",10318,12096,9875,10183,10504,10624
"chr5-135000000-136000000",4754,5063,4692,4373,5186,5230
"chr5-136000000-137000000",3065,2755,4710,2866,3050,3108
"chr5-137000000-138000000",2697,1813,5007,2139,2398,2221
"chr5-138000000-139000000",6277,6167,7724,6517,6452,6138
"chr5-139000000-140000000",8094,8520,8540,9404,9304,9746
"chr5-140000000-141000000",9906,13710,8864,10025,10591,11125
"chr5-141000000-142000000",7238,7816,7891,7497,7667,7850
"chr5-142000000-143000000",6443,6699,7362,7479,7084,7096
"chr5-143000000-144000000",3170,3224,4089,2091,2484,2651
"chr5-144000000-145000000",1430,1526,2198,1680,1768,1586
"chr5-145000000-146000000",4467,5353,3217,3661,4129,4506
"chr5-146000000-147000000",4029,3378,4414,3900,3849,3949
"chr5-147000000-148000000",2525,2313,2976,2713,2420,2399
